size,repeats,singles,heuristic,blocks,score
100,2,60,combine,84,0.16161616161616163
100,2,60,combine,83,0.1717171717171717
100,2,60,combine,83,0.1717171717171717
100,2,60,combine,82,0.18181818181818182
100,2,60,combine,86,0.1414141414141414
100,2,60,combine,86,0.1414141414141414
100,2,60,combine,88,0.12121212121212122
100,2,60,combine,82,0.18181818181818182
100,2,60,combine,84,0.16161616161616163
100,2,60,combine,85,0.15151515151515152
100,2,60,combine,86,0.1414141414141414
100,2,60,combine,88,0.12121212121212122
100,2,60,combine,85,0.15151515151515152
100,2,60,combine,84,0.16161616161616163
100,2,60,combine,83,0.1717171717171717
100,2,60,combine,87,0.13131313131313133
100,2,60,combine,83,0.1717171717171717
100,2,60,combine,86,0.1414141414141414
100,2,60,combine,85,0.15151515151515152
100,2,60,combine,85,0.15151515151515152
100,2,60,combine,82,0.18181818181818182
100,2,60,combine,83,0.1717171717171717
100,2,60,combine,81,0.1919191919191919
100,2,60,combine,85,0.15151515151515152
100,2,60,combine,83,0.1717171717171717
100,2,60,combine,80,0.20202020202020202
100,2,60,combine,87,0.13131313131313133
100,2,60,combine,81,0.1919191919191919
100,2,60,combine,85,0.15151515151515152
100,2,60,combine,82,0.18181818181818182
100,2,60,combine,81,0.1919191919191919
100,2,60,combine,84,0.16161616161616163
100,2,60,combine,86,0.1414141414141414
100,2,60,combine,83,0.1717171717171717
100,2,60,combine,83,0.1717171717171717
100,2,60,combine,87,0.13131313131313133
100,2,60,combine,82,0.18181818181818182
100,2,60,combine,83,0.1717171717171717
100,2,60,combine,86,0.1414141414141414
100,2,60,combine,85,0.15151515151515152
100,2,60,combine,80,0.20202020202020202
100,2,60,combine,80,0.20202020202020202
100,2,60,combine,88,0.12121212121212122
100,2,60,combine,88,0.12121212121212122
100,2,60,combine,82,0.18181818181818182
100,2,60,combine,80,0.20202020202020202
100,2,60,combine,85,0.15151515151515152
100,2,60,combine,79,0.21212121212121213
100,2,60,combine,81,0.1919191919191919
100,2,60,combine,82,0.18181818181818182
100,2,60,combine,86,0.1414141414141414
100,2,60,combine,84,0.16161616161616163
100,2,60,combine,86,0.1414141414141414
100,2,60,combine,81,0.1919191919191919
100,2,60,combine,82,0.18181818181818182
100,2,60,combine,87,0.13131313131313133
100,2,60,combine,84,0.16161616161616163
100,2,60,combine,82,0.18181818181818182
100,2,60,combine,87,0.13131313131313133
100,2,60,combine,85,0.15151515151515152
100,2,60,combine,81,0.1919191919191919
100,2,60,combine,83,0.1717171717171717
100,2,60,combine,80,0.20202020202020202
100,2,60,combine,86,0.1414141414141414
100,2,60,combine,81,0.1919191919191919
100,2,60,combine,86,0.1414141414141414
100,2,60,combine,84,0.16161616161616163
100,2,60,combine,83,0.1717171717171717
100,2,60,combine,82,0.18181818181818182
100,2,60,combine,82,0.18181818181818182
100,2,60,combine,86,0.1414141414141414
100,2,60,combine,84,0.16161616161616163
100,2,60,combine,86,0.1414141414141414
100,2,60,combine,83,0.1717171717171717
100,2,60,combine,85,0.15151515151515152
100,2,60,combine,86,0.1414141414141414
100,2,60,combine,85,0.15151515151515152
100,2,60,combine,85,0.15151515151515152
100,2,60,combine,87,0.13131313131313133
100,2,60,combine,86,0.1414141414141414
100,2,60,combine,85,0.15151515151515152
100,2,60,combine,84,0.16161616161616163
100,2,60,combine,83,0.1717171717171717
100,2,60,combine,85,0.15151515151515152
100,2,60,combine,85,0.15151515151515152
100,2,60,combine,81,0.1919191919191919
100,2,60,combine,81,0.1919191919191919
100,2,60,combine,83,0.1717171717171717
100,2,60,combine,80,0.20202020202020202
100,2,60,combine,87,0.13131313131313133
100,2,60,combine,83,0.1717171717171717
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,82,0.18181818181818182
100,2,60,combineS,87,0.13131313131313133
100,2,60,combineS,82,0.18181818181818182
100,2,60,combineS,84,0.16161616161616163
100,2,60,combineS,86,0.1414141414141414
100,2,60,combineS,78,0.2222222222222222
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,82,0.18181818181818182
100,2,60,combineS,85,0.15151515151515152
100,2,60,combineS,80,0.20202020202020202
100,2,60,combineS,84,0.16161616161616163
100,2,60,combineS,82,0.18181818181818182
100,2,60,combineS,84,0.16161616161616163
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,84,0.16161616161616163
100,2,60,combineS,84,0.16161616161616163
100,2,60,combineS,84,0.16161616161616163
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,80,0.20202020202020202
100,2,60,combineS,82,0.18181818181818182
100,2,60,combineS,81,0.1919191919191919
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,82,0.18181818181818182
100,2,60,combineS,86,0.1414141414141414
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,82,0.18181818181818182
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,85,0.15151515151515152
100,2,60,combineS,81,0.1919191919191919
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,80,0.20202020202020202
100,2,60,combineS,86,0.1414141414141414
100,2,60,combineS,81,0.1919191919191919
100,2,60,combineS,84,0.16161616161616163
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,84,0.16161616161616163
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,84,0.16161616161616163
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,82,0.18181818181818182
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,87,0.13131313131313133
100,2,60,combineS,85,0.15151515151515152
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,81,0.1919191919191919
100,2,60,combineS,84,0.16161616161616163
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,86,0.1414141414141414
100,2,60,combineS,85,0.15151515151515152
100,2,60,combineS,81,0.1919191919191919
100,2,60,combineS,82,0.18181818181818182
100,2,60,combineS,85,0.15151515151515152
100,2,60,combineS,87,0.13131313131313133
100,2,60,combineS,85,0.15151515151515152
100,2,60,combineS,84,0.16161616161616163
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,82,0.18181818181818182
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,85,0.15151515151515152
100,2,60,combineS,87,0.13131313131313133
100,2,60,combineS,87,0.13131313131313133
100,2,60,combineS,85,0.15151515151515152
100,2,60,combineS,80,0.20202020202020202
100,2,60,combineS,84,0.16161616161616163
100,2,60,combineS,84,0.16161616161616163
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,81,0.1919191919191919
100,2,60,combineS,85,0.15151515151515152
100,2,60,combineS,83,0.1717171717171717
100,2,60,combineS,80,0.20202020202020202
100,2,60,combineS,86,0.1414141414141414
100,2,60,combineS,84,0.16161616161616163
100,2,60,combineS,80,0.20202020202020202
